gene,pmg,pasef
DUSP3,2.783926422248804e-05,0.00014897640888091412
DUT,6.0930391795606566e-05,0.00010127842677225781
DYNC1H1,7.308720034354007e-05,0.000965932925896836
DYNC1I2,4.440680044275447e-05,3.932988932969587e-05
DYNC1LI1,2.040232314282779e-05,4.777721707447498e-05
DYNC1LI2,2.4114389656753315e-05,3.557209771003645e-06
DYNLL1,2.3872401793887886e-05,4.4656239809728554e-05
DYNLL2,2.3872401793887886e-05,6.672611241859124e-05
DYNLRB1,4.7146478860312574e-05,5.5910539584343066e-05
EBNA1BP2,8.853856905198842e-06,4.058591026933994e-06
ECH1,3.5500386359441994e-05,0.0003148122577110226
ECHDC1,3.338402643815972e-05,0.00017260016720833178
ECHS1,6.786822036103417e-05,0.0006418765888403021
ECI1,1.747787151390305e-05,0.00020582016028489926
EEA1,3.2286207765453885e-05,0.00041417877410435957
EEF1A1,0.001754004476853174,0.0022146172946317707
EEF1A1P5,0.001754004476853174,0.0022146172946317707
EEF1B2,0.000143646316103486,0.00022134434432863088
EEF1D,0.0001681285658564021,0.00013851886070703176
EEF1G,8.164831898622823e-05,0.00033911098056208075
EEF2,0.00023716456736750115,0.0015243927035002627
EFHD2,0.0001578646588838445,0.00014956333455364498
EFTUD2,7.316529332400684e-05,9.185386778238179e-05
EHD1,3.3265401394052213e-06,2.1661959266314736e-05
EHD4,4.2976052724274595e-05,0.0005446816974360694
EIF1,2.6575081403476765e-05,4.117577057043447e-06
EIF1AX,0.00012104773328044077,3.3556008024205895e-05
EIF1AY,0.00012104773328044077,3.3556008024205895e-05
EIF1B,2.6575081403476765e-05,4.117577057043447e-06
EIF2AK2,7.096142509890588e-06,8.76500126514469e-06
EIF2S1,5.554779798513042e-05,0.0002622970831434276
EIF2S2,2.563935083470121e-05,6.407614300621135e-05
EIF2S3,3.8085806046432825e-05,0.0003561318250712761
EIF2S3L,3.8085806046432825e-05,0.0003561318250712761
EIF3A,2.5974628692484146e-05,0.00012629906820077496
EIF3B,2.1566852091649585e-05,7.528495604118921e-05
EIF3C,3.1577830153949854e-05,9.337547258893658e-05
EIF3CL,3.1577830153949854e-05,9.337547258893658e-05
EIF3F,6.261631685977106e-06,7.14039100302563e-05
EIF3G,3.198361252263236e-05,9.068001643692005e-06
EIF3H,3.451073349104336e-05,3.903495917914861e-05
EIF3I,4.417131698237522e-06,6.294777840038624e-05
EIF3J,2.612995141481614e-05,1.6086165375371432e-05
